1 3 596 0.0158739583224 ('BrowserFocusTest.ClickingMovesFocus', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
6 45 719 -0.00442646779276 ('ExtensionCrashRecoveryTest.ReloadIndependently', 'WidgetTestInteractive.RestoreAfterMinimize')
1 87 36 0.00630707836469 ('AppListTest.PressAppListButtonToShowAndDismiss', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
4 31 792 -0.00775924875527 ('ExtensionCrashRecoveryTest.CrashAndUninstall', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 141 5 0.0326375576869 ('WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/1', 'WebViewPopupInteractiveTest.PopupPositioningMoved')
2 334 49 -0.0114406181956 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusTracksEmbedder/1')
9 163 719 -0.0495660609603 ('SitePerProcessInteractiveBrowserTest.TabAndMouseFocusNavigation', 'WidgetTestInteractive.RestoreAfterMinimize')
1 37 36 0.0199590009441 ('ExtensionCrashRecoveryTest.Basic', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
1 42 19 0.0297116032555 ('ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently', 'NotificationsTest.TestShouldDisplayMultiFullscreen')
15 97 792 -0.00391514896628 ('ExtensionCrashRecoveryTest.ReloadIndependentlyChangeTabs', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 2 596 0.0232772063841 ('ClipboardTest/0.WriteTextEmptyParams', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
41 492 719 -0.0627145130105 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'WidgetTestInteractive.RestoreAfterMinimize')
1 41 36 0.0181823379939 ('ExtensionCrashRecoveryTest.ReloadTabsWithBackgroundPage', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
2 33 596 -0.0159891343983 ('ExtensionCrashRecoveryTest.TwoExtensionsShutdownWhileCrashed', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
2 37 194 0.00612949422408 ('ExtensionCrashRecoveryTest.Basic', 'MouseLeaveTest.ModalDialog')
2 11 38 0.0940497343687 ('AppWindowInteractiveTest.TestCreate', 'BrowserCommandControllerInteractiveTest.ShortcutsShouldTakeEffectInJsFullscreen')
1 4 792 0.0066311262876 ('PlatformNotificationServiceBrowserTest.DisplayPersistentNotificationWithReplyButton', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 3 4 0.28816431308 ('BrowserActionInteractiveTest.TestOpenPopupIncognitoFromBackground', 'CrossSiteSubframe/DragAndDropBrowserTest.DragImageBetweenFrames/0')
