1 7 7 0.142560568293 ('AutofillInteractiveTest.OnChangeAfterAutofill', 'CommandsApiTest.RemoveBookmarkShortcutWithUserKeyBinding')
1 5 10 0.141124260968 ('PopupBlockerBrowserTest.OpenInNewBackgroundTab', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_WebRequestRemoveElement/1')
1 5 10 0.141124260968 ('PopupBlockerBrowserTest.OpenInNewBackgroundTab', 'PopupBlockerBrowserTest.WindowFeaturesBarProps')
1 5 10 0.141124260968 ('NotificationsTest.TestNotificationValidIcon', 'PermissionBubbleInteractiveUITest.CmdWClosesWindow/Views')
1 5 10 0.141124260968 ('NotificationsApiTest.TestPartialUpdate', 'WebViewInteractiveTests/WebViewInteractiveTest.Navigation/0')
1 10 5 0.141124260968 ('PermissionBubbleInteractiveUITest.CmdWClosesWindow/Views', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusTakeFocus/0')
1 10 5 0.141124260968 ('CrElementsProfileAvatarSelectorFocusTest.All', 'NotificationsApiTest.TestShouldDisplayNormal')
2 10 20 0.140826947483 ('BrowserActionInteractiveTest.TestOpenPopupDoesNotCloseOtherPopups', 'PopupBlockerBrowserTest.UnblockedPopupShowsInHistoryAndOmnibox')
3 25 18 0.140522456739 ('ConstrainedWindowViewTest.TabMoveTest', 'WebViewInteractiveTests/WebViewInteractiveTest.EditCommandsNoMenu/0')
1 3 17 0.139744194922 ('FullscreenControllerInteractiveTest.TestTabExitsMouseLockOnGoBack', 'MaterialHistoryFocusTest.All')
1 17 3 0.139744194922 ('CommandsApiTest.ShortcutChangedOnUpdateAfterBeingReassignedByUser', 'PasswordManagerBrowserTestForManualSaving.ManualFallbackForSaving')
2 9 23 0.138408127167 ('SitePerProcessTextInputManagerTest.ImeCommitTextForAllFrames', 'SitePerProcessTextInputManagerTest.TrackTextSelectionForAllFrames')
1 4 13 0.138376856052 ('AutofillInteractiveTest.AutofillEvents', 'ManagePasswordsBubbleViewTest.CloseOnEsc')
